Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
SDP62,,606987.384,4865368.992,1880.707,79,-115.66705079,43.93366723,1880.707,0.703,0.757,1.002,1.033,2.800,m,SINGLE,2023-02-09 13:05:40.2 UTC-07:00,2023-02-09 13:05:41.2 UTC-07:00,6,2.1,,,,,,,,WGS 84 / UTM zone 11N
SDP63,,606987.710,4865374.260,1881.608,110,-115.66704567,43.93371461,1881.608,0.747,0.423,0.826,0.858,2.800,m,SINGLE,2023-02-09 13:05:58.2 UTC-07:00,2023-02-09 13:05:59.2 UTC-07:00,6,2.0,,,,,,,,WGS 84 / UTM zone 11N
SDP64,,606991.412,4865379.019,1881.731,105,-115.66699861,43.93375690,1881.731,0.671,0.426,0.842,0.795,2.800,m,SINGLE,2023-02-09 13:06:20.4 UTC-07:00,2023-02-09 13:06:21.4 UTC-07:00,6,1.8,,,,,,,,WGS 84 / UTM zone 11N
SDP65,,606995.565,4865382.040,1883.849,134,-115.66694627,43.93378350,1883.849,0.783,0.387,0.910,0.874,2.800,m,SINGLE,2023-02-09 13:06:40.6 UTC-07:00,2023-02-09 13:06:41.6 UTC-07:00,6,2.4,,,,,,,,WGS 84 / UTM zone 11N
SDP66,,606995.904,4865385.994,1882.618,153,-115.66694126,43.93381903,1882.618,0.662,0.534,0.940,0.850,2.800,m,SINGLE,2023-02-09 13:07:02.8 UTC-07:00,2023-02-09 13:07:03.8 UTC-07:00,6,1.7,,,,,,,,WGS 84 / UTM zone 11N
SDP67,,606996.809,4865389.565,1882.113,157,-115.66692926,43.93385105,1882.113,0.403,0.340,0.775,0.528,2.800,m,SINGLE,2023-02-09 13:07:24.0 UTC-07:00,2023-02-09 13:07:25.0 UTC-07:00,6,1.7,,,,,,,,WGS 84 / UTM zone 11N
SDP68,,606997.972,4865391.923,1886.353,168,-115.66691431,43.93387210,1886.353,0.323,0.392,0.611,0.508,2.800,m,SINGLE,2023-02-09 13:07:43.6 UTC-07:00,2023-02-09 13:07:44.6 UTC-07:00,6,1.7,,,,,,,,WGS 84 / UTM zone 11N
SDP69,,606998.230,4865396.086,1886.486,172,-115.66691026,43.93390954,1886.486,0.300,0.340,0.582,0.454,2.800,m,SINGLE,2023-02-09 13:08:03.2 UTC-07:00,2023-02-09 13:08:04.2 UTC-07:00,6,1.7,,,,,,,,WGS 84 / UTM zone 11N
SDP70,,606998.877,4865399.234,1887.227,164,-115.66690157,43.93393778,1887.227,0.260,0.310,0.481,0.405,2.800,m,SINGLE,2023-02-09 13:08:24.6 UTC-07:00,2023-02-09 13:08:25.6 UTC-07:00,6,1.4,,,,,,,,WGS 84 / UTM zone 11N
SDP71,,606998.503,4865402.746,1887.785,139,-115.66690551,43.93396944,1887.785,0.220,0.210,0.440,0.304,2.800,m,SINGLE,2023-02-09 13:08:45.4 UTC-07:00,2023-02-09 13:08:46.4 UTC-07:00,6,1.5,,,,,,,,WGS 84 / UTM zone 11N
